UNITID,GR_Source,Adj6yrGrad,Adj6yrAAH,6yrGrad,6yrAAH,6yrAA,6yrH,Xfer,XferAAH,XferAA,XferH
199908,2014-2016,N/A,N/A,0.21,0.09,0.05,0.2,N/A,N/A,N/A,N/A
199926,2014-2016,0.37,0.29,0.24,0.19,0.17,0.2,0.27,0.2,0.2,0.2
199953,2014-2016,N/A,N/A,0.16,0.09,0.07,0.2,N/A,N/A,N/A,N/A
199962,2014-2016,0.53,0.51,0.53,0.51,0.52,0.46,N/A,N/A,N/A,N/A
199971,2014-2016,0.82,0.82,0.82,0.82,0.82,N/A,N/A,N/A,N/A,N/A
199999,2016,0.47,0.63,0.47,0.48,0.48,0.3,0.22,0.2,0.2,0.5
200004,2016,0.57,0.56,0.57,0.56,0.54,0.65,0.25,0.23,0.24,0.23
200013,2014-2016,0.26,0,0.26,0,0,0,N/A,N/A,N/A,N/A
200022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200059,2014-2016,0.31,0.19,0.31,0.19,0.17,0.23,0.3,0.42,0.5,0.32
200086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200110,2014-2016,N/A,N/A,0.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200129,2014-2016,N/A,N/A,0.39,0.5,1,0,N/A,N/A,N/A,N/A
200156,2014-2016,0.46,0.21,0.46,0.21,0.18,0.24,0.4,0.5,0.59,0.43
200165,2014-2016,N/A,N/A,0.47,0.67,0.67,N/A,N/A,N/A,N/A,N/A
200192,2014-2016,N/A,N/A,0.42,0.22,0.17,0.33,N/A,N/A,N/A,N/A
200208,2014-2016,N/A,N/A,0.11,0,0,0,N/A,N/A,N/A,N/A
200217,2014-2016,0.53,0.39,0.53,0.39,0.4,0.37,N/A,N/A,N/A,N/A
200226,2014-2016,0.32,0.16,0.32,0.16,0.13,0.2,N/A,N/A,N/A,N/A
200253,2014-2016,0.42,0.26,0.42,0.26,0.22,0.31,N/A,N/A,N/A,N/A
200280,2014-2016,0.54,0.42,0.54,0.42,0.43,0.41,N/A,N/A,N/A,N/A
200305,2014-2016,N/A,N/A,0.44,0.15,0.11,0.33,N/A,N/A,N/A,N/A
200314,2014-2016,N/A,N/A,0.28,0.2,0.22,0.15,N/A,N/A,N/A,N/A
200332,2014-2016,0.55,0.37,0.55,0.37,0.34,0.42,N/A,N/A,N/A,N/A
200341,2014-2016,N/A,N/A,0.35,0.24,0.2,0.28,N/A,N/A,N/A,N/A
200387,2014-2016,N/A,N/A,0.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200484,2014-2016,0.4,0.36,0.4,0.36,0.11,0.8,N/A,N/A,N/A,N/A
200527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200572,2014-2016,0.41,0.16,0.41,0.16,0.17,0.14,0.29,0.55,0.57,0.52
200590,2014-2016,N/A,N/A,0.41,0.2,0.2,N/A,N/A,N/A,N/A,N/A
200624,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200633,2014-2016,N/A,N/A,0.37,0.31,0.31,N/A,N/A,N/A,N/A,N/A
200697,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200785,2016,0.2,0,0.2,0,0,N/A,0.2,0,0,N/A
200846,2014-2016,0.15,0.14,0.07,0.05,0.04,0.06,0.17,0.19,0.16,0.24
200873,2014-2016,0.22,N/A,0.22,N/A,N/A,N/A,0.13,N/A,N/A,N/A
201016,2014-2016,N/A,N/A,0.27,0.15,0.15,0,N/A,N/A,N/A,N/A
201061,2014-2016,0.56,0.6,0.56,0.6,0.57,0.67,N/A,N/A,N/A,N/A
201104,2014-2016,0.59,0.32,0.59,0.32,0.27,0.45,N/A,N/A,N/A,N/A
201140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201195,2014-2016,0.67,0.49,0.67,0.49,0.36,0.7,N/A,N/A,N/A,N/A
201283,2014-2016,N/A,N/A,0.2,0.04,0.06,0,N/A,N/A,N/A,N/A
201371,2014-2016,0.52,0.25,0.52,0.25,0.26,0.2,0.35,0.46,0.44,0.53
201399,2014-2016,N/A,N/A,0.54,0.38,0.37,0.5,N/A,N/A,N/A,N/A
201432,2014-2016,0.21,0.15,0.12,0.06,0.04,0.07,0.19,0.2,0.21,0.18
201441,2016,0.53,0.38,0.53,0.38,0.37,0.43,0.31,0.45,0.47,0.38
201469,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201548,2014-2016,0.6,0.43,0.6,0.43,0.42,0.47,N/A,N/A,N/A,N/A
201645,2016,0.82,0.72,0.82,0.72,0.69,0.74,N/A,N/A,N/A,N/A
201654,2014-2016,0.71,0.66,0.71,0.66,0.57,0.73,N/A,N/A,N/A,N/A
201672,2014-2016,0.22,0.28,0.12,0.05,0.03,0.12,0.21,0.45,0.52,0.24
201751,2014-2016,N/A,N/A,0.25,0.15,0.15,N/A,N/A,N/A,N/A,N/A
201821,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201858,2014-2016,0.32,0.21,0.32,0.21,0.18,0.38,N/A,N/A,N/A,N/A
201867,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
