College Name,City,State,ZipCode,Selectivity,file_name
University of Texas Rio Grande Valley,Edinburg,TX,78539,NONCOMPETITIVE,searchpage-profile.cfm_1483.html
University of the Incarnate Word,San Antonio,TX,78209,LESS COMPETITIVE,searchpage-profile.cfm_1484.html
Wayland Baptist University,Plainview,TX,79072,LESS COMPETITIVE,searchpage-profile.cfm_1485.html
West Texas A&M University,Canyon,TX,79016,COMPETITIVE,searchpage-profile.cfm_1486.html
Wiley College,Marshall,TX,75670,COMPETITIVE,searchpage-profile.cfm_1487.html
Brigham Young University,Provo,UT,84602,HIGHLY COMPETITIVE,searchpage-profile.cfm_1488.html
Southern Utah University,Cedar City,UT,84720,COMPETITIVE,searchpage-profile.cfm_1489.html
University of California San Diego,La Jolla,CA,92093,MOST COMPETITIVE,searchpage-profile.cfm_149.html
The University of Utah,Salt Lake City,UT,84112,VERY COMPETITIVE,searchpage-profile.cfm_1490.html
Utah State University,Logan,UT,84322,COMPETITIVE,searchpage-profile.cfm_1491.html
Weber State University,Ogden,UT,84408,COMPETITIVE,searchpage-profile.cfm_1493.html
Westminster College,Salt Lake City,UT,84105,COMPETITIVE+,searchpage-profile.cfm_1494.html
Bennington College,Bennington,VT,05201,MOST COMPETITIVE,searchpage-profile.cfm_1495.html
Castleton University,Castleton,VT,05735,COMPETITIVE,searchpage-profile.cfm_1497.html
Champlain College,Burlington,VT,05402,COMPETITIVE+,searchpage-profile.cfm_1498.html
College of St Joseph,Rutland,VT,05701,LESS COMPETITIVE,searchpage-profile.cfm_1499.html
University of California at Riverside,Riverside,CA,92521,COMPETITIVE+,searchpage-profile.cfm_150.html
Goddard College,Plainfield,VT,05667,VERY  COMPETITIVE,searchpage-profile.cfm_1500.html
Green Mountain College,Poultney,VT,05764,LESS COMPETITIVE,searchpage-profile.cfm_1501.html
Johnson State College,Johnson,VT,05656,COMPETITIVE,searchpage-profile.cfm_1502.html
Lyndon State College,Lyndonville,VT,05851,COMPETITIVE,searchpage-profile.cfm_1503.html
Marlboro College,Marlboro,VT,05344,VERY COMPETITIVE+,searchpage-profile.cfm_1504.html
Middlebury College,Middlebury,VT,05753,MOST COMPETITIVE,searchpage-profile.cfm_1505.html
Norwich University,Northfield,VT,05663,COMPETITIVE,searchpage-profile.cfm_1506.html
Saint Michael's College,Colchester,VT,05439,VERY COMPETITIVE+,searchpage-profile.cfm_1507.html
Southern Vermont College,Bennington,VT,05201,LESS COMPETITIVE,searchpage-profile.cfm_1509.html
University of California at Santa Barbara,Santa Barbara,CA,93106,HIGHLY COMPETITIVE,searchpage-profile.cfm_151.html
Sterling College,Craftsbury Common,VT,05827,VERY COMPETITIVE,searchpage-profile.cfm_1510.html
University of Vermont,Burlington,VT,05401,HIGHLY COMPETITIVE,searchpage-profile.cfm_1512.html
Vermont Technical College,Randolph Center,VT,05061,COMPETITIVE,searchpage-profile.cfm_1514.html
Averett University,Danville,VA,24541,LESS COMPETITIVE,searchpage-profile.cfm_1516.html
Bluefield College,Bluefield,VA,24605,COMPETITIVE+,searchpage-profile.cfm_1517.html
Bridgewater College,Bridgewater,VA,22812,COMPETITIVE,searchpage-profile.cfm_1518.html
Christendom College,Front Royal,VA,22630,VERY COMPETITIVE,searchpage-profile.cfm_1519.html
"University of California, Santa Cruz",Santa Cruz,CA,95064,COMPETITIVE+,searchpage-profile.cfm_152.html
Christopher Newport University,Newport News,VA,23606,VERY COMPETITIVE+,searchpage-profile.cfm_1520.html
College of William & Mary,Williamsburg,VA,23187,MOST COMPETITIVE,searchpage-profile.cfm_1521.html
Eastern Mennonite University,Harrisonburg,VA,22802,COMPETITIVE,searchpage-profile.cfm_1522.html
Emory and Henry College,Emory,VA,24327,COMPETITIVE,searchpage-profile.cfm_1523.html
Ferrum College,Ferrum,VA,24088,COMPETITIVE,searchpage-profile.cfm_1524.html
George Mason University,Fairfax,VA,22030,VERY  COMPETITIVE,searchpage-profile.cfm_1525.html
Hampden-Sydney College,Hampden-Sydney,VA,23943,COMPETITIVE+,searchpage-profile.cfm_1526.html
Hampton University,Hampton,VA,23668,LESS COMPETITIVE,searchpage-profile.cfm_1527.html
Hollins University,Roanoke,VA,24020,VERY COMPETITIVE,searchpage-profile.cfm_1528.html
James Madison University,Harrisonburg,VA,22807,VERY COMPETITIVE,searchpage-profile.cfm_1529.html
University of Redlands,Redlands,CA,92373,VERY COMPETITIVE,searchpage-profile.cfm_153.html
Liberty University,Lynchburg,VA,24502,COMPETITIVE,searchpage-profile.cfm_1530.html
Longwood University,Farmville,VA,23909,COMPETITIVE,searchpage-profile.cfm_1531.html
Lynchburg College,Lynchburg,VA,24501,COMPETITIVE,searchpage-profile.cfm_1532.html
Mary Baldwin University,Staunton,VA,24401,COMPETITIVE,searchpage-profile.cfm_1533.html
University of Mary Washington,Fredericksburg,VA,22401,VERY  COMPETITIVE,searchpage-profile.cfm_1534.html
Marymount University,Arlington,VA,22207,LESS COMPETITIVE,searchpage-profile.cfm_1535.html
Norfolk State University,Norfolk,VA,23504,LESS COMPETITIVE,searchpage-profile.cfm_1536.html
Old Dominion University,Norfolk,VA,23529,COMPETITIVE,searchpage-profile.cfm_1537.html
Radford University,Radford,VA,24142,LESS COMPETITIVE,searchpage-profile.cfm_1538.html
Randolph-Macon College,Ashland,VA,23005,COMPETITIVE,searchpage-profile.cfm_1539.html
University of La Verne,La Verne,CA,91750,COMPETITIVE,searchpage-profile.cfm_154.html
Randolph College,Lynchburg,VA,24503,VERY COMPETITIVE,searchpage-profile.cfm_1540.html
Roanoke College,Salem,VA,24153,VERY COMPETITIVE,searchpage-profile.cfm_1541.html
Shenandoah University,Winchester,VA,22601,COMPETITIVE,searchpage-profile.cfm_1543.html
Sweet Briar College,Sweet Briar,VA,24595,Not Available,searchpage-profile.cfm_1544.html
University of Richmond,University of Richmond,VA,23173,MOST COMPETITIVE,searchpage-profile.cfm_1545.html
University of Virginia,Charlottesville,VA,22904,MOST COMPETITIVE,searchpage-profile.cfm_1546.html
The University of Virginia's College at Wise,Wise,VA,24293,LESS COMPETITIVE,searchpage-profile.cfm_1547.html
Virginia Commonwealth University,Richmond,VA,23284,COMPETITIVE,searchpage-profile.cfm_1548.html
American Jewish University - College of Arts and Sciences,Los Angeles,CA,90077,COMPETITIVE,searchpage-profile.cfm_155.html
Virginia Military Institute,Lexington,VA,24450,COMPETITIVE+,searchpage-profile.cfm_1550.html
Virginia Polytechnic Institute and State University,Blacksburg,VA,24061,HIGHLY COMPETITIVE,searchpage-profile.cfm_1551.html
Virginia State University,Petersburg,VA,23806,COMPETITIVE+,searchpage-profile.cfm_1552.html
Virginia Union University,Richmond,VA,23220,COMPETITIVE,searchpage-profile.cfm_1553.html
Virginia Wesleyan College,Norfolk,VA,23502,LESS COMPETITIVE,searchpage-profile.cfm_1554.html
Washington and Lee University,Lexington,VA,24450,MOST COMPETITIVE,searchpage-profile.cfm_1555.html
Central Washington University,Ellensburg,WA,98926,COMPETITIVE,searchpage-profile.cfm_1557.html
City University of Seattle,Seattle,WA,98121,NON COMPETITIVE,searchpage-profile.cfm_1558.html
Cornish College of the Arts,Seattle,WA,98121,SPECIAL,searchpage-profile.cfm_1559.html
University of San Francisco,San Francisco,CA,94117,VERY COMPETITIVE,searchpage-profile.cfm_156.html
Eastern Washington University,Cheney,WA,99004,LESS COMPETITIVE,searchpage-profile.cfm_1560.html
The Evergreen State College,Olympia,WA,98505,COMPETITIVE,searchpage-profile.cfm_1561.html
Gonzaga University,Spokane,WA,99258,HIGHLY COMPETITIVE,searchpage-profile.cfm_1562.html
Heritage University,Toppenish,WA,98948,NONCOMPETITIVE,searchpage-profile.cfm_1564.html
Northwest University,Kirkland,WA,98033,VERY COMPETITIVE,searchpage-profile.cfm_1565.html
Pacific Lutheran University,Tacoma,WA,98447,VERY COMPETITIVE,searchpage-profile.cfm_1566.html
Saint Martin's University,Lacey,WA,98503,COMPETITIVE,searchpage-profile.cfm_1567.html
Seattle Pacific University,Seattle,WA,98119,COMPETITIVE+,searchpage-profile.cfm_1568.html
Seattle University,Seattle,WA,98122,VERY COMPETITIVE+,searchpage-profile.cfm_1569.html
University of the Pacific,Stockton,CA,95211,VERY COMPETITIVE,searchpage-profile.cfm_157.html
University of Puget Sound,Tacoma,WA,98416,VERY COMPETITIVE+,searchpage-profile.cfm_1571.html
University of Washington,Seattle,WA,98195,VERY COMPETITIVE,searchpage-profile.cfm_1572.html
Walla Walla University,College Place,WA,99324,NONCOMPETITIVE,searchpage-profile.cfm_1573.html
Washington State University,Pullman,WA,99164,COMPETITIVE,searchpage-profile.cfm_1574.html
Western Washington University,Bellingham,WA,98225,COMPETITIVE+,searchpage-profile.cfm_1575.html
Whitman College,Walla Walla,WA,99362,MOST COMPETITIVE,searchpage-profile.cfm_1576.html
Whitworth University,Spokane,WA,99251,VERY COMPETITIVE,searchpage-profile.cfm_1577.html
Alderson Broaddus University,Philippi,WV,26416,COMPETITIVE,searchpage-profile.cfm_1578.html
Bethany College,Bethany,WV,26032,NONCOMPETITIVE,searchpage-profile.cfm_1579.html
University of Southern California,Los Angeles,CA,90089,COMPETITIVE,searchpage-profile.cfm_158.html
Bluefield State College,Bluefield,WV,24701,LESS COMPETITIVE,searchpage-profile.cfm_1580.html
Concord University,Athens,WV,24712,COMPETITIVE,searchpage-profile.cfm_1581.html
Davis & Elkins College,Elkins,WV,26241,LESS COMPETITIVE,searchpage-profile.cfm_1582.html
Fairmont State University,Fairmont,WV,26554,COMPETITIVE,searchpage-profile.cfm_1583.html
Glenville State College,Glenville,WV,26351,NONCOMPETITIVE,searchpage-profile.cfm_1584.html
Marshall University,Huntington,WV,25755,COMPETITIVE,searchpage-profile.cfm_1585.html
Ohio Valley University,Vienna,WV,26105,COMPETITIVE,searchpage-profile.cfm_1587.html
Salem International University,Salem,WV,26426,LESS COMPETITIVE,searchpage-profile.cfm_1588.html
"Shepherd University, West Virginia",Shepherdstown,WV,25443,COMPETITIVE,searchpage-profile.cfm_1589.html
