UNITID,CEEB,ACT,ACI
158325,N/A,1619,
158334,N/A,1625,
158352,N/A,1599,
158431,787,1573,
158477,6082,1576,
158662,6176,1577,
158802,6164,1578,
159009,6250,1582,
159373,1192,1624,
159382,1632,1589,
159391,6373,1590,
159407,6386,1587,
159416,6355,1593,
159647,6372,1588,
159656,6374,1592,
159717,6403,1594,
159939,6379,1591,
159948,5034,1596,
159966,6221,1580,
159993,6482,1598,
160038,6492,1600,
160065,6002,1574,
160074,N/A,1621,
160409,6689,1604,
160612,6656,1608,
160621,6663,1610,
160630,1647,1611,
160649,322,1613,
160658,6672,1612,
160755,6832,1614,
160904,6975,1618,
160940,688,N/A,
160959,3305,1637,
160977,3076,1634,
160995,3114,N/A,
161004,3089,1636,
161022,3302,N/A,
161077,3309,N/A,
161086,3280,1638,
161138,3372,N/A,
161165,3440,1646,
161192,3475,N/A,
161217,3929,1641,
161226,3506,1640,
161235,3393,1642,
161244,3956,1666,
161253,3916,1664,
161299,3505,1648,
161341,3008,1630,
161457,3751,1660,
161484,3631,1650,
161509,3701,6908,
161518,3755,1659,
161545,3535,N/A,
161554,3691,1644,
161563,3903,1663,
161581,3961,N/A,
161688,5028,1679,
161767,5019,1678,
161864,5131,N/A,
161873,5810,N/A,
162007,5401,1712,
162061,5101,1683,
162104,5091,1681,
162122,5144,1685,
162168,5143,1691,
162210,5890,1687,
162283,5122,1688,
162557,5230,1694,
162584,5402,1714,
162609,5279,1695,
162654,5257,1696,
162681,804,N/A,
162690,5290,1698,
162706,5303,1700,
162760,5296,1702,
162779,5308,1703,
162928,5332,1704,
163028,3054,N/A,
163046,5370,1708,
163204,551,N/A,
163259,527,N/A,
163268,5835,1751,
163286,5814,1746,
163295,5399,1710,
163338,5400,1752,
163426,5440,1723,
163453,5416,1722,
163462,5421,1726,
163532,839,N/A,
163578,5114,1727,
163657,5545,1731,
163851,5403,1716,
163912,5601,1736,
163976,5598,1732,
164076,5404,1718,
164155,5809,1742,
164173,5856,1753,
164216,5888,1754,
164270,5898,1756,
164313,1613,1760,
164447,3002,1772,
164465,3003,1774,
164492,3005,1769,
164562,3009,1782,
164580,3075,1780,
164614,N/A,2680,
164632,3078,1785,
164641,3120,1791,
164720,3079,1787,
164739,3096,1783,
164748,3107,1789,
164775,3102,1792,
164924,3083,1788,
164933,3084,1790,
164988,3087,1794,
165015,3092,1802,
165024,3517,1900,
165033,3110,1803,
165060,3112,N/A,
165112,3123,1799,
165194,3289,1807,
165264,3287,N/A,
165334,3279,1808,
165529,3285,1814,
165574,3352,1816,
165635,3371,N/A,
165644,3365,1818,
165662,3367,1820,
165671,3368,1822,
165699,3369,1824,
165802,3391,1828,
165820,3518,1902,
165866,3519,1904,
165884,3394,1834,
165936,3417,1838,
165981,3420,1839,
166018,3447,1842,
166027,3442,1840,
166045,3435,1841,
166054,3449,1843,
166124,3282,1810,
166133,3437,1844,
166391,3481,1848,
166407,3488,N/A,
166452,3483,1850,
166513,3911,1854,
166601,9100,N/A,
166629,3917,1924,
166638,3924,1925,
166647,3294,1861,
166656,3512,1860,
166674,3516,1846,
166683,3514,1858,
166692,3515,1856,
166823,3549,1862,
166850,3525,1864,
166887,3554,1865,
166911,9101,1847,
166939,3529,1866,
166948,3530,1868,
166957,3545,1867,
166984,3794,1895,
167057,3659,1872,
167093,3511,N/A,
167260,3666,1878,
167288,3521,1908,
167312,3651,1875,
167358,3667,1880,
167376,3674,1877,
167394,3283,1812,
167455,3689,1882,
167525,3713,1888,
167534,3714,1885,
167598,3723,1886,
167677,3295,N/A,
167729,3522,1910,
167783,3761,1892,
167792,3795,1893,
167835,3762,1894,
167899,3763,1896,
167905,3791,1898,
167987,3786,1906,
167996,3770,1918,
168005,3771,1920,
168148,3901,1922,
168218,3957,1926,
168227,3958,1928,
168254,3962,1930,
168263,3523,1912,
168281,3963,1932,
168290,3964,1934,
168421,3969,1942,
168430,3524,1914,
168528,1001,1954,
168546,1007,1956,
168591,1010,1958,
168607,1011,1960,
168740,1030,1992,
168786,1018,1962,
168838,5270,6690,
168847,806,5011,
168883,1049,2071,
169080,1095,1968,
169248,1106,1972,
169275,1225,1996,
169327,1123,1974,
169363,1094,1977,
169442,1035,1989,
169479,1183,1981,
169521,1816,1966,
169716,1835,2060,
169798,1201,1990,
169910,1222,1994,
169974,1261,1999,
169983,1246,1998,
169992,1250,2000,
170037,1253,2002,
170055,1254,2004,
170082,1258,2005,
170091,N/A,2009,
170240,1293,2006,
170286,1295,2010,
170301,1301,2012,
170444,1340,2014,
170532,1365,2018,
170541,1378,2016,
170550,1375,1964,
170587,1382,2017,
170620,1137,1976,
170639,1421,2031,
170657,1414,2019,
170675,1399,2020,
170790,1722,2054,
170806,1437,2022,
170842,1452,2024,
170967,1516,2072,
170976,1839,2062,
171100,1465,2032,
171128,1464,2030,
171137,1861,2074,
171146,1853,2063,
171155,1523,1973,
171225,1514,2039,
171234,1522,2029,
171298,1527,N/A,
171304,1495,2034,
171395,1569,2037,
171456,1560,2038,
171483,1564,2040,
171492,1568,2041,
171535,1607,2043,
171571,1497,2033,
171599,1595,2042,
171881,1672,2049,
172033,1686,2048,
172051,1766,2057,
172200,1764,2070,
172264,1719,2052,
172291,1628,2046,
172307,1783,2055,
172334,1732,2056,
172440,1743,2058,
172608,N/A,2065,
172617,1935,2067,
172635,1937,2068,
172644,1898,2064,
172671,1941,2075,
172699,1902,2066,
172866,N/A,6685,
172918,771,2807,
172954,N/A,666,
172963,6024,2093,
173045,6014,2080,
173063,6017,2082,
173115,N/A,698,
173124,6676,2084,
173142,6035,2086,
173160,6038,2088,
173203,6045,2090,
173258,6081,2092,
173300,6113,2104,
173328,6114,2106,
173416,N/A,2949,
173452,6435,2127,
173461,N/A,5573,
173489,N/A,6692,
173559,2110,2111,
173629,N/A,6697,
173647,6253,2112,
173665,6265,2114,
173735,6275,2116,
173799,6300,2103,
173805,6309,2118,
173887,N/A,6561,
173902,6390,2122,
173911,N/A,2355,
173920,6677,2126,
173984,N/A,5119,
173993,6432,2158,
174020,N/A,2124,
174066,6874,2156,
174075,6893,2129,
174127,6411,2130,
174136,6434,2147,
174154,N/A,6704,
174206,6412,2132,
174233,6873,2157,
174251,6890,2155,
174279,N/A,5046,
174358,6678,2134,
174376,6498,2137,
174394,N/A,4777,
174428,6501,2123,
174437,N/A,2136,
174473,6500,2159,
174491,6489,2138,
174507,6516,N/A,
174525,7247,2167,
174570,N/A,2564,
174604,1637,2117,
174738,6610,2142,
174747,6104,2094,
174756,N/A,2160,
174783,6679,2144,
174792,6624,2146,
174817,6632,2148,
174844,6638,2150,
174862,6639,2152,
174899,6107,2098,
174914,6110,2102,
175005,6105,2096,
175014,N/A,4781,
175041,534,2856,
175078,6703,2151,
175157,6194,2108,
175227,N/A,6281,
175236,N/A,2172,
175263,N/A,2163,
175272,6680,2162,
175315,N/A,2959,
175342,1008,2176,
175421,1055,2180,
175430,1066,2182,
175519,1126,2186,
175573,1142,2188,
175616,1163,2190,
175643,1196,2192,
175652,1197,2194,
175786,1296,2198,
175810,1299,2200,
175829,1326,2202,
175856,1341,2204,
175883,1347,2206,
175935,1461,2210,
175980,1471,2212,
176008,1742,2244,
176017,1840,2250,
176035,1481,2222,
176044,1482,2224,
176053,1477,2214,
176080,1480,2220,
176169,1557,2226,
176178,1562,2228,
176239,1622,2232,
176318,1669,2240,
176336,1781,2241,
176354,1729,2242,
176372,1479,2218,
176406,1807,2248,
176479,1907,2254,
176628,6109,2278,
176664,991,2283,
176770,N/A,2367,
176789,6331,2312,
176910,6145,2267,
176947,6089,2270,
176965,6090,2272,
177065,6095,2276,
177083,6112,2280,
177117,6120,2286,
177135,6138,2289,
177144,6123,2290,
177214,6169,2292,
177339,6198,2296,
177418,6216,2298,
177542,6266,2320,
177551,6269,2302,
177676,6320,2313,
177719,6329,N/A,
177746,6330,2277,
177940,6366,2322,
177968,6367,2324,
177977,N/A,5105,
177995,6359,2307,
178059,6399,2326,
178217,6323,2306,
178244,2258,2323,
178341,6322,2304,
178369,6413,2330,
178387,6625,2344,
178396,6875,2382,
178402,6872,2380,
178411,6876,2398,
178420,6889,2383,
178448,6414,2332,
178615,6483,2336,
178624,6488,2338,
178679,6542,2279,
178697,N/A,2364,
178721,6574,2340,
178891,7028,5367,
178989,6612,2347,
179043,6611,2342,
179052,N/A,6693,
179159,6629,2352,
179256,N/A,2334,
179265,6626,2346,
179308,6226,2299,
179326,6664,2368,
179344,N/A,2401,
179399,N/A,2271,
179539,6709,2356,
179548,6683,2374,
179557,6655,2366,
179566,6665,2370,
179645,6836,2372,
179715,6830,2378,
179867,6929,2386,
179894,6933,2388,
179919,6934,2390,
179946,6937,2392,
179955,6941,2394,
179964,6944,2396,
180054,379,N/A,
180081,2085,N/A,
180106,4041,2408,
180151,4280,2414,
180160,5938,2403,
180179,4298,2416,
180197,4317,2417,
